Country,Country Code  
Afghanistan,001  
Albania,002  
Algeria,003  
Andorra,004  
Angola,005  
Antigua and Barbuda,006  
Argentina,007  
Armenia,008  
Australia,009  
Austria,010  
Azerbaijan,011  
Bahamas,012  
Bahrain,013  
Bangladesh,014  
Barbados,015  
Belarus,016  
Belgium,017  
Belize,018  
Benin,019  
Bhutan,020  
Bolivia,021  
Bosnia and Herzegovina,022  
Botswana,023  
Brazil,024  
Brunei,025  
Bulgaria,026  
Burkina Faso,027  
Burundi,028  
Cabo Verde,029  
Cambodia,030  
Cameroon,031  
Canada,032  
Central African Republic,033  
Chad,034  
Chile,035  
China,036  
Colombia,037  
Comoros,038  
Congo (Congo-Brazzaville),039  
Costa Rica,040  
Croatia,041  
Cuba,042  
Cyprus,043  
Czechia (Czech Republic),044  
Democratic Republic of the Congo,045  
Denmark,046  
Djibouti,047  
Dominica,048  
Dominican Republic,049  
Ecuador,050  
Egypt,051  
El Salvador,052  
Equatorial Guinea,053  
Eritrea,054  
Estonia,055  
Eswatini,056  
Ethiopia,057  
Fiji,058  
Finland,059  
France,060  
Gabon,061  
Gambia,062  
Georgia,063  
Germany,064  
Ghana,065  
Greece,066  
Grenada,067  
Guatemala,068  
Guinea,069  
Guinea-Bissau,070  
Guyana,071  
Haiti,072  
Holy See,073  
Honduras,074  
Hungary,075  
Iceland,076  
India,077  
Indonesia,078  
Iran,079  
Iraq,080  
Ireland,081  
Israel,082  
Italy,083  
Jamaica,084  
Japan,085  
Jordan,086  
Kazakhstan,087  
Kenya,088  
Kiribati,089  
Kuwait,090  
Kyrgyzstan,091  
Laos,092  
Latvia,093  
Lebanon,094  
Lesotho,095  
Liberia,096  
Libya,097  
Liechtenstein,098  
Lithuania,099  
Luxembourg,100  
Madagascar,101  
Malawi,102  
Malaysia,103  
Maldives,104  
Mali,105  
Malta,106  
Marshall Islands,107  
Mauritania,108  
Mauritius,109  
Mexico,110  
Micronesia,111  
Moldova,112  
Monaco,113  
Mongolia,114  
Montenegro,115  
Morocco,116  
Mozambique,117  
Myanmar (formerly Burma),118  
Namibia,119  
Nauru,120  
Nepal,121  
Netherlands,122  
New Zealand,123  
Nicaragua,124  
Niger,125  
Nigeria,126  
North Korea,127  
North Macedonia (formerly Macedonia),128  
Norway,129  
Oman,130  
Pakistan,131  
Palau,132  
Palestine State,133  
Panama,134  
Papua New Guinea,135  
Paraguay,136  
Peru,137  
Philippines,138  
Poland,139  
Portugal,140  
Qatar,141  
Romania,142  
Russia,143  
Rwanda,144  
Saint Kitts and Nevis,145  
Saint Lucia,146  
Saint Vincent and the Grenadines,147  
Samoa,148  
San Marino,149  
Sao Tome and Principe,150  
Saudi Arabia,151  
Senegal,152  
Serbia,153  
Seychelles,154  
Sierra Leone,155  
Singapore,156  
Slovakia,157  
Slovenia,158  
Solomon Islands,159  
Somalia,160  
South Africa,161  
South Korea,162  
South Sudan,163  
Spain,164  
Sri Lanka,165  
Sudan,166  
Suriname,167  
Sweden,168  
Switzerland,169  
Syria,170  
Tajikistan,171  
Tanzania,172  
Thailand,173  
Timor-Leste,174  
Togo,175  
Tonga,176  
Trinidad and Tobago,177  
Tunisia,178  
Turkey,179  
Turkmenistan,180  
Tuvalu,181  
Uganda,182  
Ukraine,183  
United Arab Emirates,184  
United Kingdom,185  
United States of America,186  
Uruguay,187  
Uzbekistan,188  
Vanuatu,189  
Venezuela,190  
Vietnam,191  
Yemen,192  
Zambia,193  
Zimbabwe,194  
